    0  1  2  3  4  5  6  7  8  9  a  b  c  d  e  f
00 64  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
01 16  4  0  2  6  4  2  6  6  0  0  8  2  2  0  6
02  0  6  4  4  6  6  2  4  6  4  4  4  2  2  4  6
03  2  8  0  4  4  4  0  2  8  4  6  4  4  2  4  8
04  0  4 10  8  4  4  4  6  4  4  4  2  0  4  2  4
05  4  2  8  6  4  2  6  4  4  4  6  2  4  4  0  4
06  0  0  4  6  2  2  4 10  4  4  4  6  8  0  2  8
07  0  2  6  6  0  6  2  6  4  2  2  2 14  0  4  8
08  0  4  4  4 12  0  4  4  4  4  4  8  4  4  0  4
09  2  4  2  2 10  2  0  2  6  6  6  4  6  4  0  8
0a  0  6  4  2  4 16  4  0 10  6  0  0  4  6  2  0
0b  2  6  8  6  0 10  0  0  4  6  2  6  2 10  2  0
0c  0  4  6  0  4  2  8  4  2  4  6  2  2  2 12  6
0d  2  4  4  2  4  2  4  2  2  6  6  2  2  6 12  4
0e  0  8  0  4  4  2  6  8  2  2  6 10  0  6  2  4
0f  0  2  0  4  4  6  6 10  6  0  8  4  2  4  6  2
10  0  6  0  6  4  6  0 10 10  6  0  0  4  4  6  2
11  6  4  4  0  4  2  4 12  6  2  2  0  2  6  8  2
12  0  6  4  4  2  4  6  2  4 10  2  2  6  8  4  0
13  6  6  6  6  6  2  4  0  4 10  0  2  4  6  2  0
14  0  4 10  4  4  4  8  2  0  0 10  0  0  4  8  6
15  2  4 12  2  4  4  4  4  2  4  8  2  0  0  8  4
16  0 10  8  4  2  2  4  2  4  0  4 14  4  2  2  2
17  8  6  4  2  0  4  6  6  2  2  4 12  2  4  2  0
18  0  4  0  4  6  4  2  0  8  2  8  2 10  6  2  6
19  4  4  2  4  8  2  6  2  2  2  2  4 12  6  4  0
1a  0  0  4  0  2  8  2  0  2  8  2  4 14 10  2  6
1b  2  4  6  4  2  6  4  4  4  6  2  4  4  4  4  4
1c  0  2  2  6  6  4  6  6  0  8  4  6  0  4 10  0
1d  8  2  0  6  4  6 10  0  0  8  6  2  0  0  8  4
1e  0  0  4  8  2  0  4  6  4  2  6  4  6  2  6 10
1f  0  2  2  8  4  2  6  4  4  2  4  6  4  6  0 10
20  8  4  4  2  4  4  2  4  8  4  0  6  0  8  2  4
21 12  2  8  0 10  4  0  0  8 10  0  4  0  2  2  2
22  2 16  2  2  0  2  2  6  4  6 10  2  4  2  4  0
23  4 10  2  0  6  2  6  6  2  4  8  2  4  4  4  0
24  2  6 10  2  2  4  6  0  6  4  4  2  0  8  6  2
25  4  4 14  8  2  4 10  2  2  0  0  4  2  6  2  0
26  2  0  4  6  4  2  6  8  2  4  6  4  4  2  8  2
27  0  8  4  8  2  6  4  8  4  2  2  4  0  2  8  2
28  2  2  2  6 10  0  2  0  4  4  0  4 10  4  2 12
29  0  0  6  8 14  0  0  0  6  4  4  4 10  2  0  6
2a  6  2  2  4  2 10  2  4  4 10  4  4  8  2  0  0
2b  6  6  2  4  0  8  2  0  8  6  2  6  8  6  0  0
2c  2  2  0  6  0  0  6  8  0  6  2  6 10  4  8  4
2d  4  0  2  4  2  4 12  8  0  2  2  6  8  4  2  4
2e  4  4  0  4  6  2  2 10  8  2  2  4  4  2  6  4
2f  6  2  2 12  4  4  2  4  6  0  6  2  0  2  2 10
30  6  0  2  2  4  8  4  6  8  6  2  2  6  2  4  2
31  6  8  2  2  0  4  4  6  6  4  4  0  8  4  2  4
32  8  4  4  8  6  4  6  0  2  8  4  2  2  2  0  4
33  2  6  0  2 10  6  6  8  4  8  2  0  2  2  2  4
34  4  4  6  0  2  4  8  4  4  0 14  8  2  4  0  0
35  2  0  4  2  0  4  6  6  2  0 16  6  0  4  2 10
36  8  2  4 10  6  4  2  4  2  4  0  6  2  0  4  6
37 10  2  6  2  2  6  4  0  4  4  4  8  4  0  2  6
38  0  2  6  4  8 12  6  2  4  2  4  2  6  2  2  2
39  2 10  4  4  4  8  2  2  4  4  2  6  4  4  2  2
3a  4  6  2  0  2  4  4  2  2  0  4  6  4 14  6  4
3b  4  2  0  0  4  4  4  2  2  4  2  2  8 12 12  2
3c  4  8 10  2  2  0  6  0  2  2  2  6  2  4  8  6
3d  2  4  4  4  4  0  2  4  4  8  4  2  4  6 12  0
3e  2  2  6  6  6  4  0  6  4  2  6  0  0  4  4 12
3f  0  0  4  4  0  0  0  8  2  4  6  8  2  4 10 12
