    0  1  2  3  4  5  6  7  8  9  a  b  c  d  e  f
00 64  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
01 12  4 10 34  2  2  0  0  0  0  0  0  0  0  0  0
02  0 18 22 20  2  0  0  2  0  0  0  0  0  0  0  0
03 18 12 26  4  2  0  2  0  0  0  0  0  0  0  0  0
04  0 16 24 20  0  4  0  0  0  0  0  0  0  0  0  0
05 14 32  8  6  0  2  2  0  0  0  0  0  0  0  0  0
06  0 26 14 20  2  0  0  2  0  0  0  0  0  0  0  0
07 16 12 16 16  0  0  0  4  0  0  0  0  0  0  0  0
08  2  2  0  0 14 18 16 12  0  0  0  0  0  0  0  0
09  2  0  2  0 22 16 14  8  0  0  0  0  0  0  0  0
0a  0  0  4  0 18 18 18  6  0  0  0  0  0  0  0  0
0b  2  2  0  0  4 12 26 18  0  0  0  0  0  0  0  0
0c  2  2  0  0 14 18  8 20  0  0  0  0  0  0  0  0
0d  0  2  2  0 18 12 12 18  0  0  0  0  0  0  0  0
0e  0  0  0  4 14  6 18 22  0  0  0  0  0  0  0  0
0f  0  0  0  4 16 20  8 16  0  0  0  0  0  0  0  0
10  0  0  0  0  0  0  0  0 14  6 24 16  2  2  0  0
11  0  0  0  0  0  0  0  0 16 32  6  6  0  0  2  2
12  0  0  0  0  0  0  0  0 12 14 18 16  0  2  2  0
13  0  0  0  0  0  0  0  0 12 14 18 16  0  2  2  0
14  0  0  0  0  0  0  0  0 20 20 10 10  0  0  2  2
15  0  0  0  0  0  0  0  0 14  6 24 16  2  2  0  0
16  0  0  0  0  0  0  0  0 14 20  8 18  2  0  0  2
17  0  0  0  0  0  0  0  0 18  8 12 22  2  0  0  2
18  0  0  0  0  0  0  0  0  0  0  2  2 20 16  2 22
19  0  0  0  0  0  0  0  0  4  0  0  0 24  8  4 24
1a  0  0  0  0  0  0  0  0  2  2  0  0  6 10 24 20
1b  0  0  0  0  0  0  0  0  0  0  0  4 12 24 12 12
1c  0  0  0  0  0  0  0  0  2  2  0  0 10 22 20  8
1d  0  0  0  0  0  0  0  0  0  2  2  0 14 16 24  6
1e  0  0  0  0  0  0  0  0  0  0  2  2 24 12 14 10
1f  0  0  0  0  0  0  0  0  0  2  2  0 10 12 20 18
20 10 28 16  6  0  2  2  0  0  0  0  0  0  0  0  0
21 12 14 22 12  0  2  2  0  0  0  0  0  0  0  0  0
22 12 12 14 22  2  2  0  0  0  0  0  0  0  0  0  0
23 20 12 14 14  0  0  2  2  0  0  0  0  0  0  0  0
24 20 10 14 16  2  0  0  2  0  0  0  0  0  0  0  0
25 18 16  8 18  2  0  0  2  0  0  0  0  0  0  0  0
26 18 10 16 16  0  0  2  2  0  0  0  0  0  0  0  0
27 10 18 16 16  2  2  0  0  0  0  0  0  0  0  0  0
28  4  0  0  0 14 14 10 22  0  0  0  0  0  0  0  0
29  0  0  2  2 14 18 12 16  0  0  0  0  0  0  0  0
2a  0  0  0  4 14 18 14 14  0  0  0  0  0  0  0  0
2b  2  2  0  0 12 16 14 18  0  0  0  0  0  0  0  0
2c  0  2  2  0 16 18 10 16  0  0  0  0  0  0  0  0
2d  2  2  0  0 20  8 22 10  0  0  0  0  0  0  0  0
2e  0  2  2  0 16 10 26  8  0  0  0  0  0  0  0  0
2f  0  0  2  2 14 18 12 16  0  0  0  0  0  0  0  0
30  0  0  0  0  0  0  0  0 14 12 22 12  0  2  0  2
31  0  0  0  0  0  0  0  0 20 18  6 16  2  0  0  2
32  0  0  0  0  0  0  0  0 12 20  6 22  0  0  2  2
33  0  0  0  0  0  0  0  0 20  4 24 16  0  0  0  0
34  0  0  0  0  0  0  0  0 22 14 18  6  4  0  0  0
35  0  0  0  0  0  0  0  0  8 22 10 20  2  0  0  2
36  0  0  0  0  0  0  0  0 12 14 14 20  0  2  2  0
37  0  0  0  0  0  0  0  0 12 16 20 12  0  0  4  0
38  0  0  0  0  0  0  0  0  0  0  2  2 12 28 14  6
39  0  0  0  0  0  0  0  0  0  4  0  0  4 20 24 12
3a  0  0  0  0  0  0  0  0  0  2  0  2 10  8 18 24
3b  0  0  0  0  0  0  0  0  0  0  2  2 18 18  8 16
3c  0  0  0  0  0  0  0  0  4  0  0  0 14 14 10 22
3d  0  0  0  0  0  0  0  0  4  0  0  0 28 12 12  8
3e  0  0  0  0  0  0  0  0  0  2  2  0 24 10 18  8
3f  0  0  0  0  0  0  0  0  0  0  2  2 10 10 16 24
