64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,2,8,2,2,8,4,2,6,2,6,2,4,2,0
0,14,10,4,6,6,0,0,6,0,2,0,4,4,4,4
2,18,6,0,0,8,2,4,2,6,0,2,6,2,2,4
0,6,20,2,4,0,4,4,2,2,0,8,4,2,2,4
6,6,16,0,6,0,6,0,2,0,2,4,6,2,4,4
0,2,4,20,0,4,6,8,2,4,2,2,2,2,4,2
8,4,2,14,4,4,0,4,2,0,2,0,4,2,14,0
0,4,6,2,16,2,6,4,6,2,6,2,2,4,2,0
4,4,2,0,18,4,2,6,6,6,0,6,4,2,0,0
0,6,2,4,4,18,2,4,4,2,4,2,4,2,4,2
0,6,6,4,6,14,4,4,4,8,4,0,2,0,2,0
0,2,4,2,4,4,16,4,4,2,10,4,2,6,0,0
10,4,6,4,8,2,14,4,0,0,4,4,0,0,2,2
0,2,2,2,2,10,2,16,4,8,4,2,2,0,4,4
2,4,4,10,4,2,4,10,2,2,6,6,4,0,2,2
0,4,2,4,4,4,4,6,6,8,0,4,4,2,4,8
2,0,2,0,4,8,2,2,14,4,6,0,4,4,6,6
0,4,0,4,2,4,2,4,6,10,2,6,6,8,2,4
6,2,0,0,4,4,4,4,4,4,8,8,2,6,4,4
0,0,4,6,4,4,0,2,2,2,14,8,4,4,8,2
2,0,4,4,0,2,6,2,4,8,6,4,6,6,4,6
0,6,4,4,4,2,8,0,4,6,4,12,4,2,4,0
2,0,4,6,0,4,0,8,2,4,2,16,6,6,0,4
0,4,2,2,4,0,2,2,6,4,4,2,8,10,6,8
2,4,4,0,2,4,0,0,8,2,8,4,6,4,10,6
0,4,2,4,4,2,0,4,2,6,6,4,8,10,2,6
4,4,2,4,0,4,6,0,4,4,4,2,6,10,2,8
0,4,2,2,4,2,4,2,6,4,6,4,4,4,10,6
2,0,4,8,4,2,2,6,4,6,4,0,4,2,8,8
0,2,0,2,2,2,8,4,4,4,0,4,6,4,8,14
0,6,0,2,2,0,4,6,4,4,6,2,2,14,2,10
16,4,6,4,2,0,2,2,4,0,2,4,4,6,4,4
14,6,2,4,6,4,2,6,4,2,0,0,2,6,2,4
10,16,6,2,0,4,4,2,2,0,0,0,4,4,2,8
0,14,6,4,2,4,6,4,0,6,6,0,4,6,0,2
0,4,10,10,8,4,6,2,0,6,2,0,2,0,4,6
6,8,14,4,2,6,4,0,0,2,2,0,4,0,4,8
4,6,2,14,2,4,4,4,2,0,2,6,2,8,2,2
2,6,4,12,2,0,6,4,4,0,0,4,2,8,8,2
6,2,2,4,22,6,0,2,4,2,2,2,2,0,6,2
2,0,2,8,14,4,4,10,4,10,2,0,0,2,0,2
2,6,2,0,2,16,8,4,4,2,2,2,6,6,2,0
2,2,4,2,4,18,4,8,4,2,2,6,4,0,0,2
0,4,6,0,2,10,14,8,2,6,2,4,2,2,0,2
2,4,8,2,6,4,12,2,2,0,2,8,4,2,4,2
2,2,2,6,2,4,6,20,2,4,4,6,2,2,0,0
12,4,0,4,8,4,2,10,2,2,6,2,4,0,2,2
2,6,0,2,0,2,0,4,10,10,6,4,4,6,6,2
4,2,0,0,2,6,4,2,8,4,10,4,2,4,6,6
2,2,6,2,4,2,4,2,8,6,6,4,2,2,4,8
4,2,2,2,8,2,2,2,10,6,4,6,0,8,2,4
4,6,2,4,0,2,2,0,6,8,14,4,4,2,4,2
0,2,4,6,2,0,4,2,4,4,10,10,6,6,2,2
2,0,4,6,8,2,2,0,4,2,8,10,6,4,2,4
2,0,4,4,4,2,4,0,2,12,4,8,4,2,4,8
0,4,6,4,2,4,2,2,2,4,6,6,10,6,0,6
8,6,2,0,0,2,4,2,4,2,6,4,12,2,8,2
6,0,4,2,0,2,4,2,6,8,0,2,8,10,4,6
6,0,2,4,4,4,2,2,2,4,6,4,4,4,10,6
4,2,0,4,4,0,2,4,4,4,6,8,0,2,16,4
0,4,4,4,0,2,2,4,6,4,4,2,6,10,10,2
4,0,6,0,6,2,4,6,4,2,2,2,6,4,8,8
0,4,6,4,0,2,2,6,8,4,0,6,6,4,2,10
