    0  1  2  3  4  5  6  7  8  9  a  b  c  d  e  f
00 64  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
01 18  4  4  2  6  4  2  0  4  0  4  0  6  6  4  0
02  0 20  2  2  8 10  0  2  2  2  0  0  4 10  0  2
03  0 14  4  2  4  8  2  2  4  2  2  0  8  8  0  4
04  0  4 18  0  2  0  6  6  0  2  2  6  0  0  8 10
05  4  6 16  6  2  2  4  8  2  0  0  2  0  0  8  4
06  0  2  0 18  0  0  6 10  0  0  2  2  0  2  8 14
07  2  2  6 22  0  4  4  4  0  2  4  2  0  6  4  2
08  0  8  4  2 22  4  4  4  8  6  0  0  0  0  2  0
09  8  2  2  2 20  0  2  0  8 10  0  0  4  4  0  2
0a  0  6  2  2  4 24  4  2  6  2  0  6  4  2  0  0
0b  2  8  0  2  2 16  4  2  8 12  2  2  2  2  0  0
0c  0  2  4  8  4  4 16  2  4  0  8  6  2  0  2  2
0d  2  2  4  4  2  4 32  2  0  0  0  8  0  2  0  2
0e  0  2  6  8  4  2  0 14  0  4  8  8  2  2  4  0
0f  0  2  8  4  0  2  2 18  2  2  8 10  0  0  4  2
10  0  2  0  0  4  6  0  0 12  4  8  6 10 10  2  0
11  6  4  0  0  8  6  0  0 16  2  2  6  8  6  0  0
12  0  4  0  0  4  6  2  4  4 18  4  2  6  6  0  4
13  4  2  0  0  6 12  0  4  0 24  2  0  2  2  2  4
14  0  0  2  4  4  2  6  6  6  4 22  2  0  0  4  2
15  0  0  2  2  6  0  0  6  2  2 26  2  2  0  6  8
16  0  0  6  0  2  4  8  8  4  2  2 14  0  4  6  4
17  2  0  4  2  0  0  8 12  4  0  0 16  2  0  8  6
18  0  0  4  0  4  0  0  0  8 12  0  0 30  2  2  2
19  6  6  4  4  4  4  0  0  6  4  0  2 18  0  2  4
1a  0 12  0  2  2  2  2  0  8  8  0  2  2 22  2  0
1b  8  8  2  4  2  2  2  0  6  2  0  2  0 20  4  2
1c  0  0  8  6  0  0  4  6  2  0  4  4  2  4 20  4
1d  0  0  4  4  0  0  0  4  2  2  8  8  6  6 16  4
1e  0  2  8 12  0  0  6  0  0  0  4  6  2  0  4 20
1f  2  4  4  4  2  0  2  2  0  0  6  4  6  2  6 20
20 24  4  8  4  4  0  2  2  0  4  0  0  6  6  0  0
21 22  2  2  2  2  4  6  0  2  0  2  0 12  4  4  0
22  2 18  2  2  6  6  0  4  6  2  0  0  6  2  2  6
23  0 18  4  6  4  8  0  0  4  2  2  0  2 10  0  4
24  4  4 20  2  0  0  4  6  4  2  0  4  0  2  4  8
25  2  8 24  2  4  0  4  8  0  0  4  0  2  0  0  6
26  2  2  0 14  2  2  8  6  0  0  2  0  2  6  8 10
27  4  4  2 16  2  4  4  4  0  0  2  4  0  2  6 10
28  4  8  4  2 28  2  2  2  0  4  4  2  2  0  0  0
29  4  4  2  0 22  2  2  4  4  8  0  2  2  2  4  2
2a  2  8  0  2  0 20  6  2  4 10  2  4  2  2  0  0
2b  4  6  0  2  2 16  2  4  8  8  2  6  2  2  0  0
2c  0  0  4  8  2  4 18  0  4  2 14  4  2  2  0  0
2d  6  0  8  6  6  4 18  4  0  0  6  6  0  0  0  0
2e  2  0  6  6  2  2  0 18  2  4  2 10  4  0  6  0
2f  2  2  6  6  2  2  4 20  2  6  6  2  0  0  2  2
30  2  0  0  0  0  4  4  2 24  0  4  6  6 12  0  0
31  4  4  2  0  2  6  4  2 16  2  4  4  8  6  0  0
32  0  2  0  2  4 12  2  2  0 18  6  0  8  4  0  4
33  4  2  0  0  8  6  2  6  2 18  2  0  2  6  4  2
34  0  2  2  4  6  2  8  4  2  2 22  2  0  2  4  2
35  0  0  0  2  0  0  6  4  8  6 18  2  0  2  8  8
36  2  0  4  0  2  6  4 10  4  0  2 16  0  2  6  6
37  0  2  2  0  2  4  6  4  4  0  2 22  2  2  6  6
38  6  4  0  0  2  4  0  0  6  8  0  0 16  2 10  6
39  8  2  6  0  4  4  0  0  8  4  2  2 18  0  2  4
3a  8  4  2  4  4  0  0  2  8  2  0  4  2 20  4  0
3b  2 10  0  6  4  2  0  0  4  6  2  2  2 18  2  4
3c  4  2  2  8  2  0  2  4  0  2  4  6  4  2 18  4
3d  2  0  0  4  0  0  4  2  2  4  4  8  2  6 26  0
3e  2  6 10  6  0  0  4  0  0  4  2  6  4  0  2 18
3f  0  0  6 12  0  2  2  2  0  0  6  4 10  4  0 16
