    0  1  2  3  4  5  6  7  8  9  a  b  c  d  e  f
00 64  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
01  6  4  2  4  4  4  0  4  2  6  2  2 12  6  4  2
02  0  4  0  2  4  4  0  6  4  4  4  6  4 12  4  6
03  2  6 10  2  6  8  2  4  0  2  2  4  8  4  2  2
04  0  4 10  4  2  4  6  6  4  4  2  0  6  4  6  2
05  4  4  6  4  8  4  6  0  4  8  2  0  6  2  0  6
06  0  8  0  8  2  2  6  2  2  2  6  6  2  6  6  6
07  2  6  6  6  4  2  6  4  0  2  0  6  4  4  2 10
08  0  8  0  0 16  4  4  4  0  4  4  4  2  6  2  6
09  2  6  4  4  6  4  4  6  6  2  4  4  6  4  0  2
0a  0  6  2  6  0  8  8  6  2 10  4  2  4  2  4  0
0b  4  6  4  4  0  6  6  2  8  2  4  4  2  8  4  0
0c  0  2  6  2  2  2  8  6  8  4  6  4  6  4  0  4
0d  4  4  0  2  6 12 14  6  4  4  0  2  0  2  4  0
0e  0  4  6  2 10  8  0  6  0  4  6 10  4  2  2  0
0f  8  0  4  6  2  0  2  2  8  6  6  6  2  2  4  6
10  0  2  2  4  2  2  8  4 12  6  8  6  0  4  4  0
11  4  0  2  4  4  2  8  8  6  4  2  6  4  4  2  4
12  0  4  6  4  0  8  2  8  2  8  0  4  8  2  6  2
13  2  4  6  2  8  8  0  2  2  4  4  8  6  2  4  2
14  0  2  8  8 10  0  6  2  4  2 10  2  0  2  2  6
15  2  2  2  4  0  4  0  2  8  4 14  4  0  4 10  4
16  0  4  2  2  8  4  0  4  8  2  2  8  8  2  4  6
17  6  2  2  2  2  4 10  8  6  2  2  2  4  6  0  6
18  0  4  4  0  2  4  4  2  6  2  2  2 12  6  6  8
19  2  8  8  2 10  0  2  4  2  0  4  6  6  4  2  4
1a  0  8  2  8  0  6  6  2 10  2  6  0  2  4  2  6
1b 10  6  0  2  2  4  2  2  2  4 10  6  0  4  2  8
1c  0  2 14  2  2  4  4  4  2  6  0  6  2  2 12  2
1d  4  4  0  8  2  2  2  2  4  4  4  0  2  2 18  6
1e  0  2  2 12  4  4  2  2  0  4  4  4  4  6  4 10
1f  2  2  8  8  0  0  0  8  2 10  4  4  2  6  6  2
20  8  4  2  4  4  2  6  2  6  2  4  6  2  0  8  4
21  6  6  4  4  6  2  4  0  6  2  6  6  2  2  6  2
22  0  4  4  8  6  2  8  4  4  4  4  0  4  4  2  6
23  0  4  2 10  8 10  4  2  0  4  2  2  0  6  4  6
24  2  8 18  0  4  4  4  4  2  6  2  2  6  0  2  0
25  2  0  6  2  4  2  0  8  8  2 10  6  4  2  6  2
26  4  4  0  8  2  6  2  2  6  0  6  8  2  0  2 12
27 10  0  4  8  4  2  8 12  0  0  0  2  0  4  2  8
28  4  0  4  4  8  4  0  4  2  4  4  2  4 10  6  4
29  6  0  6  2 12  6  2  6  0  6  4  4  4  2  2  2
2a  4  2 10  6  0  6  4 12  6  6  0  2  2  2  2  0
2b  4  4  6  2  4  2  4  2  2  8  2  4  2  2  8  8
2c  2  4  4  2  4  2 12  2  2  2  2  2  4 12  2  6
2d  6  6  0  6  0  4  6  0  4  6  2  2  4  6 10  2
2e  4  6  6  0  4  6  4  6  0  0  6 14  4  0  0  4
2f  2  8  8  6  6  0  4  6  4  4  2  6  0  0  2  6
30  4  4  2  6  6  2  6  2  8  0  0  4  0  8  2 10
31  2  2  6  6  0  0  4  4 18  2  2  2 10  2  2  2
32  4  2  4  0  4  6  0  4  8  6  6  2  4  6  6  2
33  2  6  0  8  6  8  4  2  2  6  2  2  4  6  0  6
34  2  4  4  6  8  2  0  2  4  4 12  4  8  0  2  2
35  8  6  6  2  2  6  2  4  0  2 10  2  2  6  6  0
36  8  2  2  4  2  4  2  8  2  6  2  6  6  2  8  0
37  6  0  0  0  2  2  6  8  2  6  0  6  6  8  6  6
38  6  0  2  6  8  6  4  4  0  4  2  4  8  0  6  4
39  0  2  6  4  0  4  6  2  2  4  8  2 14  6  0  4
3a  2 12  0  2  0  4  4  0  6 10  4  4  0  6  8  2
3b  4  8  2  0  4  8  4  2  6  8  2  6  4  2  2  2
3c  4  0  0  4  2  6  4  4  4  6  6  4  4  6  8  2
3d  6  2  2  2  4  8  4  4  6  0 10  4  0  2  8  2
3e  6  8  2  4  2  2  4  4  4  4  4  0  6  8  0  6
3f  0 10  6  2  2  0  2  2  4  4  2  8  8  8  0  6
