    0  1  2  3  4  5  6  7  8  9  a  b  c  d  e  f
00 64  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
01 12  2  2  8  2  2  8  4  2  6  2  6  2  4  2  0
02  0 14 10  4  6  6  0  0  6  0  2  0  4  4  4  4
03  2 18  6  0  0  8  2  4  2  6  0  2  6  2  2  4
04  0  6 20  2  4  0  4  4  2  2  0  8  4  2  2  4
05  6  6 16  0  6  0  6  0  2  0  2  4  6  2  4  4
06  0  2  4 20  0  4  6  8  2  4  2  2  2  2  4  2
07  8  4  2 14  4  4  0  4  2  0  2  0  4  2 14  0
08  0  4  6  2 16  2  6  4  6  2  6  2  2  4  2  0
09  4  4  2  0 18  4  2  6  6  6  0  6  4  2  0  0
0a  0  6  2  4  4 18  2  4  4  2  4  2  4  2  4  2
0b  0  6  6  4  6 14  4  4  4  8  4  0  2  0  2  0
0c  0  2  4  2  4  4 16  4  4  2 10  4  2  6  0  0
0d 10  4  6  4  8  2 14  4  0  0  4  4  0  0  2  2
0e  0  2  2  2  2 10  2 16  4  8  4  2  2  0  4  4
0f  2  4  4 10  4  2  4 10  2  2  6  6  4  0  2  2
10  0  4  2  4  4  4  4  6  6  8  0  4  4  2  4  8
11  2  0  2  0  4  8  2  2 14  4  6  0  4  4  6  6
12  0  4  0  4  2  4  2  4  6 10  2  6  6  8  2  4
13  6  2  0  0  4  4  4  4  4  4  8  8  2  6  4  4
14  0  0  4  6  4  4  0  2  2  2 14  8  4  4  8  2
15  2  0  4  4  0  2  6  2  4  8  6  4  6  6  4  6
16  0  6  4  4  4  2  8  0  4  6  4 12  4  2  4  0
17  2  0  4  6  0  4  0  8  2  4  2 16  6  6  0  4
18  0  4  2  2  4  0  2  2  6  4  4  2  8 10  6  8
19  2  4  4  0  2  4  0  0  8  2  8  4  6  4 10  6
1a  0  4  2  4  4  2  0  4  2  6  6  4  8 10  2  6
1b  4  4  2  4  0  4  6  0  4  4  4  2  6 10  2  8
1c  0  4  2  2  4  2  4  2  6  4  6  4  4  4 10  6
1d  2  0  4  8  4  2  2  6  4  6  4  0  4  2  8  8
1e  0  2  0  2  2  2  8  4  4  4  0  4  6  4  8 14
1f  0  6  0  2  2  0  4  6  4  4  6  2  2 14  2 10
20 16  4  6  4  2  0  2  2  4  0  2  4  4  6  4  4
21 14  6  2  4  6  4  2  6  4  2  0  0  2  6  2  4
22 10 16  6  2  0  4  4  2  2  0  0  0  4  4  2  8
23  0 14  6  4  2  4  6  4  0  6  6  0  4  6  0  2
24  0  4 10 10  8  4  6  2  0  6  2  0  2  0  4  6
25  6  8 14  4  2  6  4  0  0  2  2  0  4  0  4  8
26  4  6  2 14  2  4  4  4  2  0  2  6  2  8  2  2
27  2  6  4 12  2  0  6  4  4  0  0  4  2  8  8  2
28  6  2  2  4 22  6  0  2  4  2  2  2  2  0  6  2
29  2  0  2  8 14  4  4 10  4 10  2  0  0  2  0  2
2a  2  6  2  0  2 16  8  4  4  2  2  2  6  6  2  0
2b  2  2  4  2  4 18  4  8  4  2  2  6  4  0  0  2
2c  0  4  6  0  2 10 14  8  2  6  2  4  2  2  0  2
2d  2  4  8  2  6  4 12  2  2  0  2  8  4  2  4  2
2e  2  2  2  6  2  4  6 20  2  4  4  6  2  2  0  0
2f 12  4  0  4  8  4  2 10  2  2  6  2  4  0  2  2
30  2  6  0  2  0  2  0  4 10 10  6  4  4  6  6  2
31  4  2  0  0  2  6  4  2  8  4 10  4  2  4  6  6
32  2  2  6  2  4  2  4  2  8  6  6  4  2  2  4  8
33  4  2  2  2  8  2  2  2 10  6  4  6  0  8  2  4
34  4  6  2  4  0  2  2  0  6  8 14  4  4  2  4  2
35  0  2  4  6  2  0  4  2  4  4 10 10  6  6  2  2
36  2  0  4  6  8  2  2  0  4  2  8 10  6  4  2  4
37  2  0  4  4  4  2  4  0  2 12  4  8  4  2  4  8
38  0  4  6  4  2  4  2  2  2  4  6  6 10  6  0  6
39  8  6  2  0  0  2  4  2  4  2  6  4 12  2  8  2
3a  6  0  4  2  0  2  4  2  6  8  0  2  8 10  4  6
3b  6  0  2  4  4  4  2  2  2  4  6  4  4  4 10  6
3c  4  2  0  4  4  0  2  4  4  4  6  8  0  2 16  4
3d  0  4  4  4  0  2  2  4  6  4  4  2  6 10 10  2
3e  4  0  6  0  6  2  4  6  4  2  2  2  6  4  8  8
3f  0  4  6  4  0  2  2  6  8  4  0  6  6  4  2 10
